rating_bucket,rating_midpoint,target,model,n_rows,observations,spearman_rho,linear_intercept,linear_slope,mae,weighted_mae
1600-1799,1700,Next-move error > 50 cp,DTS + 1/log2(N+1),491,88454,0.05064485941775367,0.15051200594346673,0.07038565995086819,0.16166050882570546,0.15110616939123223
1600-1799,1700,Next-move error > 50 cp,DTS only,491,88454,-0.13975617744636773,0.214764611843397,-0.09035085010667473,0.16020983065772876,0.1495896500320598
1600-1799,1700,Next-move error > 50 cp,1/N only,491,88454,0.3941976141624272,0.10247895570507201,0.34656444751425003,0.1435637655640871,0.1354072909953805
1600-1799,1700,Next-move error > 50 cp,1/sqrt(N) only,491,88454,0.3941976141624272,0.006919156024105311,0.41409780487828796,0.14093967063789284,0.13305955086779497
1600-1799,1700,Next-move error > 50 cp,1/log2(N+1) only,491,88454,0.3941976141624272,0.013284414102907371,0.430070992101893,0.14219219703172994,0.13418617438252212
1600-1799,1700,Did not play Stockfish best move,GMR: 1 - GMR,491,88454,-0.35343866843156757,1.0008286961264368,-0.4585090439491969,0.2288687263369309,0.22575582447430786
1600-1799,1700,Did not play Stockfish best move,DTS + 1/N,491,88454,0.17447927869605567,0.6029397884264075,0.2115619127879539,0.24343583142839026,0.24668138399264078
1600-1799,1700,Did not play Stockfish best move,DTS + 1/sqrt(N),491,88454,0.18873500839254692,0.5661820917101456,0.25097097826762904,0.24247506712071878,0.2464771776479652
1600-1799,1700,Did not play Stockfish best move,DTS + 1/log2(N+1),491,88454,0.20045661700869513,0.5587980076960062,0.2793262293759355,0.24142109574579904,0.24592842808457419
1600-1799,1700,Did not play Stockfish best move,DTS only,491,88454,0.38328732400938154,0.5605524113338167,0.2678259540359185,0.22389041850124697,0.23073130261295832
1600-1799,1700,Did not play Stockfish best move,1/N only,491,88454,-0.3490680808043575,0.7540584314161706,-0.38989142172969116,0.22812458502825578,0.22495243827213793
1600-1799,1700,Did not play Stockfish best move,1/sqrt(N) only,491,88454,-0.3490680808043575,0.857925362077633,-0.4570703167423232,0.22602855096438004,0.2221790011231338
1600-1799,1700,Did not play Stockfish best move,1/log2(N+1) only,491,88454,-0.3490680808043575,0.8530066983240747,-0.4801948983083664,0.2271899011037833,0.22379187508835127
1800-1999,1900,Next-move error > 50 cp,GMR: 1 - GMR,496,149977,0.39324398137495004,-0.11442693038499907,0.3594566918118319,0.12826254863463382,0.12279853757491262
1800-1999,1900,Next-move error > 50 cp,DTS + 1/N,496,149977,0.04086406119437423,0.12148215303094442,0.07714159599550391,0.1439053682489487,0.13182893196392298
1800-1999,1900,Next-move error > 50 cp,DTS + 1/sqrt(N),496,149977,0.03942747111496267,0.11807172470568936,0.06712034337887085,0.14394259320282354,0.13184038749135704
1800-1999,1900,Next-move error > 50 cp,DTS + 1/log2(N+1),496,149977,0.01849908234098372,0.12799003366351608,0.04465118419921383,0.14414940068857882,0.13187681454135183
1800-1999,1900,Next-move error > 50 cp,DTS only,496,149977,-0.15874579357686502,0.1804366980155531,-0.08480120604423143,0.14078573051092752,0.12806204184065909
1800-1999,1900,Next-move error > 50 cp,1/N only,496,149977,0.38229507724308726,0.08042584309676025,0.29968570068987865,0.12914787566424923,0.11775672896660752
1800-1999,1900,Next-move error > 50 cp,1/sqrt(N) only,496,149977,0.38229507724308726,-0.002933202172205912,0.3597849672041217,0.12692492231280006,0.11636565580195286
1800-1999,1900,Next-move error > 50 cp,1/log2(N+1) only,496,149977,0.38229507724308726,0.003029783480384962,0.372571941895435,0.12801534371123582,0.11702018135589976
1800-1999,1900,Did not play Stockfish best move,GMR: 1 - GMR,496,149977,-0.3364645348628263,0.9775175696042866,-0.4679379750088457,0.2452480129152896,0.25071064110412716
1800-1999,1900,Did not play Stockfish best move,DTS + 1/N,496,149977,0.16741560658841048,0.5719234397471659,0.2134665698783628,0.25875359929155856,0.2641748566822046
1800-1999,1900,Did not play Stockfish best move,DTS + 1/sqrt(N),496,149977,0.18569173490527363,0.5322865185300054,0.25913728854706475,0.2573777052543547,0.26329672361535184
1800-1999,1900,Did not play Stockfish best move,DTS + 1/log2(N+1),496,149977,0.19547180340666823,0.5250899659931161,0.28716187459515674,0.2563399944854902,0.26269956729255806
1800-1999,1900,Did not play Stockfish best move,DTS only,496,149977,0.380728084249098,0.522952127818553,0.28296062096560487,0.2386081781727792,0.24830360749998984
1800-1999,1900,Did not play Stockfish best move,1/N only,496,149977,-0.3367628483546266,0.732071596886107,-0.42783831200067585,0.24107599184007067,0.24902083813776188
1800-1999,1900,Did not play Stockfish best move,1/sqrt(N) only,496,149977,-0.3367628483546266,0.842956997304019,-0.4939804426267558,0.2399203800466358,0.24853898997906768
1800-1999,1900,Did not play Stockfish best move,1/log2(N+1) only,496,149977,-0.3367628483546266,0.8394579041639065,-0.5237802980729169,0.24033289695234233,0.2485617095049801
2000-2199,2100,Next-move error > 50 cp,GMR: 1 - GMR,461,101207,0.3800716110458509,-0.11358533040462351,0.3079448092885559,0.10798456337356023,0.10366560747339863
2000-2199,2100,Next-move error > 50 cp,DTS + 1/N,461,101207,0.013625567996116006,0.08747547099358942,0.07104056778507228,0.1182361844313968,0.10592683753523865
2000-2199,2100,Next-move error > 50 cp,DTS + 1/sqrt(N),461,101207,0.013994037458371304,0.08432313505332642,0.061842009374713916,0.11833790780400445,0.10605766015891532
2000-2199,2100,Next-move error > 50 cp,DTS + 1/log2(N+1),461,101207,-0.008039136136466653,0.09292107607722783,0.042469713195021006,0.11854566117422433,0.10594267583157473
2000-2199,2100,Next-move error > 50 cp,DTS only,461,101207,-0.16748152073490694,0.1389977356004307,-0.07141471803518021,0.11671173873521545,0.10280973428632205
2000-2199,2100,Next-move error > 50 cp,1/N only,461,101207,0.35970672107053486,0.0540329976738873,0.25663042722247364,0.1072666777128564,0.09581608087366195
2000-2199,2100,Next-move error > 50 cp,1/sqrt(N) only,461,101207,0.35970672107053486,-0.017409332338288563,0.30843070478424345,0.1056719086781984,0.0959607281967104
2000-2199,2100,Next-move error > 50 cp,1/log2(N+1) only,461,101207,0.35970672107053486,-0.012179754398596296,0.3189319441368656,0.1065102931627483,0.09583933520439966
2000-2199,2100,Did not play Stockfish best move,GMR: 1 - GMR,461,101207,-0.365979169048962,1.0031943504704237,-0.5616578665322307,0.26220890605411296,0.26699326597106326
2000-2199,2100,Did not play Stockfish best move,DTS + 1/N,461,101207,0.1686633167870032,0.5162148868273975,0.2541937795553392,0.27916294833126004,0.27539091788714687
2000-2199,2100,Did not play Stockfish best move,DTS + 1/sqrt(N),461,101207,0.1865282028171915,0.4710773740727997,0.3036646248041051,0.27803432025417923,0.2743370080004061
2000-2199,2100,Did not play Stockfish best move,DTS + 1/log2(N+1),461,101207,0.1973839537615503,0.46222044306402543,0.3375227820491368,0.2766782986280691,0.27352386330658995
2000-2199,2100,Did not play Stockfish best move,DTS only,461,101207,0.3996892375965665,0.463329238533876,0.3235152313333773,0.2546363096060694,0.2582198902266348
2000-2199,2100,Did not play Stockfish best move,1/N only,461,101207,-0.3649932705675084,0.6993934367317073,-0.4768960672452851,0.2593319634580831,0.26415361082385524
2000-2199,2100,Did not play Stockfish best move,1/sqrt(N) only,461,101207,-0.3649932705675084,0.826420308263901,-0.5592463272841772,0.2573791085995868,0.26417442540895114
2000-2199,2100,Did not play Stockfish best move,1/log2(N+1) only,461,101207,-0.3649932705675084,0.8203192520454798,-0.5871322333392526,0.25827519343417354,0.2638953586518823
2200-2399,2300,Next-move error > 50 cp,GMR: 1 - GMR,337,28833,0.30234724941316954,-0.07897231690366742,0.22232645087338196,0.09420036208168164,0.08134946229780095
2200-2399,2300,Next-move error > 50 cp,DTS + 1/N,337,28833,0.09125433235032962,0.06661986612518013,0.058518033280728854,0.09974953706192505,0.08500754583413593
2200-2399,2300,Next-move error > 50 cp,DTS + 1/sqrt(N),337,28833,0.09521236317560948,0.060291170953466186,0.059938963124332056,0.09970039722561337,0.08513834661448721
2200-2399,2300,Next-move error > 50 cp,DTS + 1/log2(N+1),337,28833,0.0802099197408897,0.06735297731233712,0.04435470161527173,0.09993378815890372,0.08499667584942172
2200-2399,2300,Next-move error > 50 cp,DTS only,337,28833,-0.04310647654165039,0.0992875332240019,-0.03635062268765745,0.09990166402624087,0.08255814808075042
2200-2399,2300,Next-move error > 50 cp,1/N only,337,28833,0.28398759414284336,0.050554998407927376,0.15448100224010233,0.09693918515686159,0.08043253963556544
2200-2399,2300,Next-move error > 50 cp,1/sqrt(N) only,337,28833,0.28398759414284336,0.003022146579008095,0.1955902882151459,0.09548205015527027,0.07979564292717119
2200-2399,2300,Next-move error > 50 cp,1/log2(N+1) only,337,28833,0.28398759414284336,0.009054167676380592,0.195836581395015,0.09635273735785072,0.08018162130409381
2200-2399,2300,Did not play Stockfish best move,GMR: 1 - GMR,337,28833,-0.32230313129096355,0.9149855142022241,-0.5277452324040948,0.27329387929928406,0.26678119694415664
2200-2399,2300,Did not play Stockfish best move,DTS + 1/N,337,28833,0.12851841195244937,0.4554944498389989,0.22810213518940245,0.2868127542531585,0.2697108394893157
